GEOID,route_id,n_stops,best_headway_min,total_trips,route_short_name,route_long_name,route_type
12086010211,30422,1,18.0,10,52,GOULDS TO CORAL REEF DR STATION,3
12086010211,30446,19,30.0,105,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010212,30446,8,30.0,45,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010213,30417,1,20.0,9,35,CUTLER BAY-FLA.CITY VIA LEISURE CTY,3
12086010213,30422,6,15.0,57,52,GOULDS TO CORAL REEF DR STATION,3
12086010213,30427,1,60.0,3,70,CUTLER BAY-FL CITY VIA PRINCETON,3
12086010213,30446,11,30.0,58,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010213,30466,1,120.0,1,500,CUTLER BAY LOCAL,3
12086010213,30469,2,11.25,28,602,TRANSITWAY LOCAL,3
12086010214,30417,1,20.0,9,35,CUTLER BAY-FLA.CITY VIA LEISURE CTY,3
12086010214,30422,12,15.0,113,52,GOULDS TO CORAL REEF DR STATION,3
12086010214,30427,1,60.0,3,70,CUTLER BAY-FL CITY VIA PRINCETON,3
12086010214,30436,8,45.0,28,97,SO.MIAMI HTS-PERRINE VIA CUTLER BAY,3
12086010214,30441,2,30.0,11,107,DOLPHIN MALL-MDC KEND-CUTLER BAY,3
12086010214,30446,6,30.0,31,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010214,30466,3,120.0,3,500,CUTLER BAY LOCAL,3
12086010214,30468,4,8.181818181818182,68,601,METRO EXPRESS,3
12086010214,30469,4,10.588235294117647,59,602,TRANSITWAY LOCAL,3
12086010301,30427,6,60.0,18,70,CUTLER BAY-FL CITY VIA PRINCETON,3
12086010301,30469,2,10.588235294117647,29,602,TRANSITWAY LOCAL,3
12086010400,30417,2,22.5,16,35,CUTLER BAY-FLA.CITY VIA LEISURE CTY,3
12086010400,30422,2,16.363636363636363,22,52,GOULDS TO CORAL REEF DR STATION,3
12086010400,30427,8,60.0,24,70,CUTLER BAY-FL CITY VIA PRINCETON,3
12086010400,30468,4,7.826086956521739,68,601,METRO EXPRESS,3
12086010400,30469,10,10.588235294117647,145,602,TRANSITWAY LOCAL,3
12086010501,30417,13,11.25,113,35,CUTLER BAY-FLA.CITY VIA LEISURE CTY,3
12086010501,30422,14,15.0,160,52,GOULDS TO CORAL REEF DR STATION,3
12086010501,30427,12,36.0,37,70,CUTLER BAY-FL CITY VIA PRINCETON,3
12086010501,30436,3,45.0,11,97,SO.MIAMI HTS-PERRINE VIA CUTLER BAY,3
12086010501,30441,3,30.0,16,107,DOLPHIN MALL-MDC KEND-CUTLER BAY,3
12086010501,30446,4,30.0,20,137,DOLPHIN MALL-CUTLER BAY VIA 137 AVE,3
12086010501,30466,3,120.0,3,500,CUTLER BAY LOCAL,3
12086010501,30468,2,8.181818181818182,34,601,METRO EXPRESS,3
12086010501,30469,8,10.588235294117647,115,602,TRANSITWAY LOCAL,3
12086010502,23888,1,90.0,2,AVTYEL,City of Aventura Exp (Yellow),3
12086010502,30417,10,22.5,75,35,CUTLER BAY-FLA.CITY VIA LEISURE CTY,3
12086010502,30427,24,60.0,72,70,CUTLER BAY-FL CITY VIA PRINCETON,3
12086010502,30468,2,8.181818181818182,34,601,METRO EXPRESS,3
12086010502,30469,4,10.588235294117647,59,602,TRANSITWAY LOCAL,3
12086010604,30436,12,60.0,36,97,SO.MIAMI HTS-PERRINE VIA CUTLER BAY,3
12086010604,30458,14,36.0,69,287,CUTLER BAY TO RICHMOND DR STATION,3
12086010604,30466,9,120.0,9,500,CUTLER BAY LOCAL,3
12086010608,30436,11,45.0,34,97,SO.MIAMI HTS-PERRINE VIA CUTLER BAY,3
12086010608,30466,8,120.0,8,500,CUTLER BAY LOCAL,3
12086010609,30417,5,11.25,48,35,CUTLER BAY-FLA.CITY VIA LEISURE CTY,3
12086010609,30422,11,7.826086956521739,139,52,GOULDS TO CORAL REEF DR STATION,3
